DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL,Indicator_0,Indicator_1,Indicator_2,Indicator_3,Signal,Remark,Stop Loss,Target,Entry_Price,Exit_Price,PNL,PNL%,Total PNL
2023-01-30,EQ,1595.0,1625.3,1582.0,1615.8,1617.4,1614.15,1603.35,1722.1,1271.6,9256411,14841278614.15,282514,HDFCBANK,1625.3,1637.494999999999,1625.3,1637.494999999999,Sell,Stop Loss,1615.6762223047406,1615.985666542889,1615.8,1614.15,-1.6499999999998636,-0.10211659858892583,-1691.6999999999991
2023-01-31,EQ,1619.7,1622.7,1595.0,1614.15,1605.8,1603.5,1606.73,1722.1,1271.6,9298122,14939588504.95,313012,HDFCBANK,1622.7,1641.914999999999,1622.7,1641.914999999999,Hold,,,,,,,,
2023-02-01,EQ,1624.0,1665.0,1606.0,1603.5,1625.5,1627.55,1633.55,1722.1,1271.6,8651395,14132476806.6,230246,HDFCBANK,1665.0,1648.934999999999,1665.0,1648.934999999999,Buy,crossover,1627.4271159104173,1627.7343261343738,1627.55,,,,
2023-02-02,EQ,1608.1,1624.5,1588.75,1627.55,1605.7,1603.35,1601.95,1722.1,1271.6,8748553,14014786208.0,272747,HDFCBANK,1624.5,1653.2099999999991,1624.5,1653.2099999999991,Sell,crossdown,1627.4271159104173,1627.7343261343738,1627.55,1658.8,31.25,1.9200638997265829,-1660.4499999999991
2023-02-03,EQ,1611.0,1660.5,1607.0,1603.35,1658.25,1658.8,1641.97,1722.1,1271.6,7205550,11831279561.5,296046,HDFCBANK,1660.5,1659.2999999999993,1660.5,1659.2999999999993,Hold,,,,,,,,
2023-02-06,EQ,1660.0,1669.4,1646.2,1658.8,1650.0,1651.75,1656.81,1722.1,1271.6,5583836,9251344923.6,160975,HDFCBANK,1669.4,1659.009999999999,1669.4,1659.009999999999,Hold,,,,,,,,
2023-02-07,EQ,1659.4,1664.9,1632.6,1651.75,1652.0,1654.2,1650.73,1722.1,1271.6,5132294,8472010812.25,154701,HDFCBANK,1664.9,1657.8699999999994,1664.9,1657.8699999999994,Hold,,,,,,,,
2023-02-08,EQ,1654.25,1668.2,1650.0,1654.2,1652.0,1654.0,1658.26,1722.1,1271.6,4222413,7001861740.25,122581,HDFCBANK,1668.2,1657.0999999999992,1668.2,1657.0999999999992,Hold,,,,,,,,
2023-02-09,EQ,1660.0,1661.65,1635.55,1654.0,1650.2,1650.55,1646.47,1722.1,1271.6,5888668,9695534662.35,156658,HDFCBANK,1661.65,1653.1199999999994,1661.65,1653.1199999999994,Hold,,,,,,,,
2023-02-10,EQ,1648.8,1658.5,1642.2,1650.55,1652.3,1657.1,1652.8,1722.1,1271.6,4086058,6753456557.5,112380,HDFCBANK,1658.5,1648.3899999999994,1658.5,1648.3899999999994,Hold,,,,,,,,
